#HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,LU,Luxembourg,22,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,LV,Latvia,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,NL,Netherlands,11,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,NO,Norway,9,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,PL,Poland,82,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,PT,Portugal,7,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,RO,Romania,28,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,SE,Sweden,11,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,SI,Slovenia,34,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,SK,Slovakia,7,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,UKG13182,England,96,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,UKM,Scotland,73,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,UKN,Northern Ireland,2,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,AT,Austria,12,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,BE,Belgium,16,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,BG,Bulgaria,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,CZ,Czech Republic,29,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,DE,Germany,81,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,DK,Denmark,4,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,EE,Estonia,14,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,EL,Greece,37,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,ES,Spain,63,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,EU31_UKX,EU/EEA,1046,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,FR,France,403,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,HU,Hungary,18,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,IE,Ireland,10,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,IS,Iceland,2,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,IT,Italy,6,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,LT,Lithuania,4,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,LU,Luxembourg,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,LV,Latvia,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,NL,Netherlands,13,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,NO,Norway,2,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,PL,Poland,121,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,PT,Portugal,8,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,RO,Romania,64,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,SE,Sweden,3,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,SI,Slovenia,23,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,SK,Slovakia,3,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,UKG13182,England,73,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,UKM,Scotland,34,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W50,UKN,Northern Ireland,3,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W51,AT,Austria,21,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W51,BE,Belgium,12,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W51,BG,Bulgaria,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W51,CZ,Czech Republic,29,
